228	234	202	141	26.71	98	86
190	222	73	62	48.53	9	74
222	225	76	51	103.23	38	60
190	221	71	64	44.68	15	110
188	218	88	69	10.56	49	68
200	224	79	69	73.97	37	102
207	215	85	60	80.94	51	95
209	219	81	59	84.44	49	99
239	242	199	137	24.68	8	150
210	223	77	59	85.92	9	99
190	244	194	150	1.68	6	92
194	213	80	59	171.48	83	33
192	216	77	61	170.55	7	32
199	212	88	59	167.55	16	65
198	228	76	61	61.93	56	67
206	220	82	62	83.43	40	84
206	222	79	60	86.03	28	84
199	199	113	87	106.59	115	88
183	240	222	154	10.46	16	126
219	244	211	154	0.65	15	117
200	243	172	153	173.77	3	108
203	196	143	105	2.11	89	86
193	202	160	108	177.70	10	108
204	196	109	86	107.43	34	58
220	247	190	151	16.60	5	134
206	163	136	91	1.18	8	125
210	191	144	101	4.61	72	134
207	213	70	52	9.28	70	55
228	241	55	40	113.98	28	58
204	227	72	62	44.83	171	75
212	233	69	47	66.74	82	54
211	231	66	46	67.74	83	55
212	232	67	48	63.65	61	56
224	182	151	106	7.59	33	160
236	184	161	106	15.60	10	90
209	232	59	41	140.88	103	61
210	232	57	41	133.64	165	74
189	180	126	93	142.00	45	60
189	178	124	93	142.37	27	71
206	233	57	42	141.95	89	64
208	232	57	41	138.23	116	82
196	156	110	91	110.69	3	161
197	151	108	91	121.31	3	149
200	149	126	91	113.46	3	141
198	156	114	91	116.24	5	151
217	162	100	75	115.47	7	151
196	147	110	95	109.62	4	128
197	146	113	95	114.18	2	178
198	147	114	95	119.13	30	201
198	144	116	96	115.81	3	178
220	146	102	84	116.87	3	188
214	135	90	81	120.97	7	137
203	132	73	57	178.95	39	124
371	245	80	60	135.25	18	95
370	246	80	61	134.17	47	127
328	229	111	84	15.65	14	99
357	261	80	55	167.62	31	107
372	246	85	62	141.23	3	129
376	276	86	59	169.02	11	96
377	276	86	59	169.01	102	104
391	266	104	74	150.72	31	108
343	223	74	54	108.36	36	87
364	252	103	77	82.69	18	106
389	264	99	73	148.11	14	114
348	248	130	106	170.87	8	111
383	263	106	77	150.36	10	130
384	252	109	86	141.01	56	117
390	264	103	73	142.46	21	140
392	265	104	69	143.56	13	138
392	265	104	71	142.13	14	144
391	264	104	72	142.20	5	140
398	257	83	64	125.79	32	86
348	244	127	92	6.51	5	113
331	223	148	102	114.43	29	166
298	223	159	128	116.09	65	153
304	173	135	92	159.85	3	202
360	146	82	61	44.25	53	81
295	222	152	128	124.34	43	156
316	176	143	95	172.58	49	182
313	177	140	98	171.81	13	113
313	188	148	108	167.46	32	158
304	221	169	135	156.46	10	146
